facility_id,facility_name,procedure,code_type,code,min_ip_reimb,max_ip_reimb,min_op_reimb,max_op_reimb,ndc,rev_code,procedure_description,quantity,payer,contract,plan,ip_price,ip_pricing_detail,ip_expected_reimbursement,ip_xr_detail,op_price,op_pricing_detail,op_expected_reimbursement,op_xr_detail
1002999,MGH Parent,90000025,EAP,CPT� 90847,0,385.48,0,419,,0916 - BEHAVIORAL HEALTH TREATMENTS/SERVICES - FAMILY THERAPY,PSYCH THERAPY FAMILY W/PT,1,CIGNA [1006],HB MGB CIGNA INDEMNITY [32],CIGNA INDEMNITY [100603],352,FSC: 48; BFG: 35,0,Not reimbursed separately,352,FSC: 48; BFG: 35,352,Inpatient / Outpatient Indemnity PAF; 100% Billed
1002999,MGH Parent,90000025,EAP,CPT� 90847,0,385.48,0,419,,0916 - BEHAVIORAL HEALTH TREATMENTS/SERVICES - FAMILY THERAPY,PSYCH THERAPY FAMILY W/PT,1,CIGNA [1006],HB AMC CIGNA HMO / PPO [30],CIGNA MEDICARE SUPPLEMENT [100613],352,FSC: 48; BFG: 35,0,Not reimbursed separately,352,FSC: 48; BFG: 35,253.44,Inpatient / Outpatient PAF; 72% Billed
1002999,MGH DAN ACC,90000025,EAP,CPT� 90847,0,385.48,0,419,,0916 - BEHAVIORAL HEALTH TREATMENTS/SERVICES - FAMILY THERAPY,PSYCH THERAPY FAMILY W/PT,1,UNITED HEALTHCARE ALTERNATE [1020],HB ACC HPHC ALLIANCE PPO PREFERRED B [123],UNITED HARVARD PILGRIM PREFERRED B [102003],342,FSC: 48; BFG: 35,0,Not reimbursed separately,342,FSC: 48; BFG: 35,150.48,Default PAF; 44% Billed
1002999,MGH Parent,90000025,EAP,CPT� 90847,0,385.48,0,419,,0916 - BEHAVIORAL HEALTH TREATMENTS/SERVICES - FAMILY THERAPY,PSYCH THERAPY FAMILY W/PT,1,AETNA [1001],HB MGH AETNA MEDICARE REPLACEMENT [74],AETNA HMO MEDICARE REPLACEMENT [100109],342,FSC: 48; BFG: 35,0,Not reimbursed separately,342,FSC: 48; BFG: 35,158.58,"OPPS APC; APC Pricing  (APC/APG Code: 5823 / Adjstd. APC/APG Price: 153.96), and; Prc Ext - HB XR PRC - PHS MEDICARE OPPS 103%; No outlier payment added to this line. Paid as 103 % of $153.96 as defined in the pricing extension."
1002999,MGH Parent,90000025,EAP,CPT� 90847,0,385.48,0,419,,0916 - BEHAVIORAL HEALTH TREATMENTS/SERVICES - FAMILY THERAPY,PSYCH THERAPY FAMILY W/PT,1,HARVARD PILGRIM ALTERNATE [120002],HB AMC OPTUM UNITED BEHAVIORAL HEALTH [110],HARVARD PILGRIM OPTUM UBH [12000201],342,FSC: 48; BFG: 35,0,Not reimbursed separately,342,FSC: 48; BFG: 35,217.9,"Outpatient Facility; FSC: MGB OPTUM UBH MA, Value: 217.90"
1002999,MGH Parent,96100002,EAP,CPT� 90847,0,385.48,0,419,,0961 - PROFESSIONAL FEES - PSYCHIATRIC,PF PSY THRPY FAMILY W/PT,1,BLUE CROSS ALTERNATE [110002],HB AMC OPTUM UNITED BEHAVIORAL HEALTH [110],BLUE CROSS OPTUM UBH [11000204],419,FSC: 48; BFG: 35,0,Not reimbursed separately,419,FSC: 48; BFG: 35,217.9,"Outpatient Facility; FSC: MGB OPTUM UBH MA, Value: 217.90"
1002999,MGH DAN ACC,96100002,EAP,CPT� 90847,0,385.48,0,419,,0961 - PROFESSIONAL FEES - PSYCHIATRIC,PF PSY THRPY FAMILY W/PT,1,UNITED HEALTHCARE ALTERNATE [1020],HB ACC HPHC ALLIANCE PPO NON PREFERRED B [126],UNITED HARVARD PILGRIM NON PREFERRED B [102005],419,FSC: 48; BFG: 35,0,Not reimbursed separately,419,FSC: 48; BFG: 35,215.79,Default PAF; 51.5% Billed
1002999,MGH DAN ACC,96100002,EAP,CPT� 90847,0,385.48,0,419,,0961 - PROFESSIONAL FEES - PSYCHIATRIC,PF PSY THRPY FAMILY W/PT,1,UNITED HEALTHCARE ALTERNATE [1020],HB ACC HPHC ALLIANCE PPO NON PREFERRED A [125],UNITED HARVARD PILGRIM NON PREFERRED A [102004],419,FSC: 48; BFG: 35,0,Not reimbursed separately,419,FSC: 48; BFG: 35,284.5,Default PAF; 67.9% Billed
1002999,MGH DAN ACC,96100002,EAP,CPT� 90847,0,385.48,0,419,,0961 - PROFESSIONAL FEES - PSYCHIATRIC,PF PSY THRPY FAMILY W/PT,1,UNITED HEALTHCARE ALTERNATE [1020],HB ACC HPHC ALLIANCE PPO PREFERRED B [123],UNITED HARVARD PILGRIM PREFERRED B [102003],419,FSC: 48; BFG: 35,0,Not reimbursed separately,419,FSC: 48; BFG: 35,184.36,Default PAF; 44% Billed
1002999,MGH Parent,96100002,EAP,CPT� 90847,0,385.48,0,419,,0961 - PROFESSIONAL FEES - PSYCHIATRIC,PF PSY THRPY FAMILY W/PT,1,AETNA [1001],HB MGH AETNA MEDICARE REPLACEMENT [74],AETNA HMO MEDICARE REPLACEMENT [100109],419,FSC: 48; BFG: 35,0,Not reimbursed separately,419,FSC: 48; BFG: 35,158.58,"OPPS APC; APC Pricing  (APC/APG Code: 5823 / Adjstd. APC/APG Price: 153.96), and; Prc Ext - HB XR PRC - PHS MEDICARE OPPS 103%; No outlier payment added to this line. Paid as 103 % of $153.96 as defined in the pricing extension."
